symbol,timestamp,open,high,low,close,volume
DRIFTUSDT,2025-01-04,1.4117,1.4807,1.3751,1.3886,26110696.0
DRIFTUSDT,2025-01-05,1.3887,1.3907,1.3426,1.3794,13995000.0
DRIFTUSDT,2025-01-06,1.3792,1.4177,1.3435,1.3912,21124853.0
DRIFTUSDT,2025-01-07,1.3911,1.4763,1.3462,1.4036,59242402.0
DRIFTUSDT,2025-01-08,1.4031,1.4059,1.1899,1.258,37786612.0
DRIFTUSDT,2025-01-09,1.2576,1.26,1.1166,1.1366,32668653.0
DRIFTUSDT,2025-01-10,1.1369,1.1963,1.109,1.1464,21709653.0
DRIFTUSDT,2025-01-11,1.1463,1.2098,1.1303,1.1838,14139101.0
DRIFTUSDT,2025-01-12,1.184,1.184,1.1321,1.1495,8762082.0
DRIFTUSDT,2025-01-13,1.1497,1.1732,1.011,1.0917,21554049.0
DRIFTUSDT,2025-01-14,1.0916,1.224,1.0906,1.1215,49886704.0
DRIFTUSDT,2025-01-15,1.1215,1.1725,1.0712,1.1673,17970481.0
DRIFTUSDT,2025-01-16,1.1672,1.1836,1.112,1.1282,19740464.0
DRIFTUSDT,2025-01-17,1.1283,1.1952,1.1246,1.1832,11147195.0
DRIFTUSDT,2025-01-18,1.1835,1.2713,1.1233,1.2585,54513817.0
DRIFTUSDT,2025-01-19,1.2585,1.2754,1.0321,1.0588,59839221.0
DRIFTUSDT,2025-01-20,1.0589,1.1018,0.9789,1.0065,35718166.0
DRIFTUSDT,2025-01-21,1.0063,1.0919,0.9405,1.0538,18751799.0
DRIFTUSDT,2025-01-22,1.0535,1.0878,1.0237,1.0435,11515825.0
DRIFTUSDT,2025-01-23,1.0433,1.0559,0.973,1.0104,11544518.0
DRIFTUSDT,2025-01-24,1.0107,1.039,0.9632,0.972,9238700.0
DRIFTUSDT,2025-01-25,0.9717,0.9953,0.9437,0.9792,7584783.0
DRIFTUSDT,2025-01-26,0.9791,1.0242,0.9525,0.9537,10439225.0
DRIFTUSDT,2025-01-27,0.9538,1.0283,0.8795,0.9612,30662334.0
DRIFTUSDT,2025-01-28,0.9613,0.9686,0.8783,0.8937,11621471.0
DRIFTUSDT,2025-01-29,0.8938,0.9401,0.8541,0.8994,13168629.0
DRIFTUSDT,2025-01-30,0.8994,0.9676,0.8866,0.9302,10356520.0
DRIFTUSDT,2025-01-31,0.9303,0.9573,0.9005,0.912,8369651.0
DRIFTUSDT,2025-02-01,0.912,0.938,0.8199,0.8271,8950685.0
DRIFTUSDT,2025-02-02,0.8266,0.8436,0.6897,0.7237,22443602.0
DRIFTUSDT,2025-02-03,0.7238,0.7904,0.5644,0.7861,55124071.0
DRIFTUSDT,2025-02-04,0.7858,0.7922,0.7099,0.7444,20263230.0
DRIFTUSDT,2025-02-05,0.7445,0.7572,0.7055,0.7198,12529188.0
DRIFTUSDT,2025-02-06,0.7197,0.7615,0.6681,0.6773,13164875.0
DRIFTUSDT,2025-02-07,0.6773,0.7638,0.6693,0.7078,21750365.0
DRIFTUSDT,2025-02-08,0.7078,0.7828,0.6982,0.7823,12211347.0
DRIFTUSDT,2025-02-09,0.7822,0.8101,0.7113,0.7411,16119794.0
DRIFTUSDT,2025-02-10,0.741,0.8079,0.7094,0.7986,10485499.0
DRIFTUSDT,2025-02-11,0.7985,0.872,0.7783,0.7848,18486874.0
DRIFTUSDT,2025-02-12,0.7846,0.8397,0.7608,0.8206,23845088.0
DRIFTUSDT,2025-02-13,0.8212,0.8382,0.7667,0.787,11282496.0
DRIFTUSDT,2025-02-14,0.7872,0.8627,0.7786,0.8291,12129766.0
DRIFTUSDT,2025-02-15,0.8286,0.8286,0.7833,0.7954,6342283.0
DRIFTUSDT,2025-02-16,0.7955,0.8076,0.7322,0.7361,7534991.0
DRIFTUSDT,2025-02-17,0.736,0.739,0.6781,0.6886,14131086.0
DRIFTUSDT,2025-02-18,0.6886,0.6923,0.6262,0.6627,13621311.0
DRIFTUSDT,2025-02-19,0.6626,0.6828,0.6428,0.6685,6153199.0
DRIFTUSDT,2025-02-20,0.6687,0.702,0.6644,0.6969,6333390.0
DRIFTUSDT,2025-02-21,0.697,0.7614,0.6698,0.676,16271656.0
DRIFTUSDT,2025-02-22,0.6762,0.6942,0.6685,0.6878,5364672.0
DRIFTUSDT,2025-02-23,0.6878,0.7325,0.6709,0.6848,9996050.0
DRIFTUSDT,2025-02-24,0.6849,0.6877,0.5969,0.6145,10365261.0
DRIFTUSDT,2025-02-25,0.6144,0.649,0.5714,0.636,17317422.0
DRIFTUSDT,2025-02-26,0.6361,0.6844,0.6291,0.6645,15131350.0
DRIFTUSDT,2025-02-27,0.6648,0.7327,0.6625,0.6807,23094216.0
DRIFTUSDT,2025-02-28,0.6807,0.7023,0.6314,0.6947,16087579.0
DRIFTUSDT,2025-03-01,0.6948,0.7118,0.6518,0.6806,15825402.0
DRIFTUSDT,2025-03-02,0.6807,0.7457,0.6721,0.7277,24603453.0
DRIFTUSDT,2025-03-03,0.728,0.7297,0.6515,0.6615,13947142.0
DRIFTUSDT,2025-03-04,0.6615,0.7433,0.6281,0.7256,43318618.0
DRIFTUSDT,2025-03-05,0.7255,0.7559,0.701,0.7235,20492396.0
DRIFTUSDT,2025-03-06,0.7232,0.7253,0.6763,0.697,10939400.0
DRIFTUSDT,2025-03-07,0.6971,0.7001,0.65,0.6652,7140198.0
DRIFTUSDT,2025-03-08,0.6653,0.6742,0.6333,0.6426,12321219.0
DRIFTUSDT,2025-03-09,0.6425,0.6459,0.5786,0.5895,6013685.0
DRIFTUSDT,2025-03-10,0.5896,0.6098,0.5232,0.5301,8935115.0
DRIFTUSDT,2025-03-11,0.5302,0.5323,0.4897,0.5206,11882107.0
DRIFTUSDT,2025-03-12,0.5206,0.5382,0.5005,0.5273,6726127.0
DRIFTUSDT,2025-03-13,0.5273,0.5394,0.4963,0.5073,7142407.0
DRIFTUSDT,2025-03-14,0.5074,0.5272,0.4808,0.5041,17888612.0
DRIFTUSDT,2025-03-15,0.5042,0.59,0.494,0.5715,58410062.0
DRIFTUSDT,2025-03-16,0.5716,0.6018,0.5506,0.557,38114484.0
DRIFTUSDT,2025-03-17,0.5572,0.7092,0.5558,0.652,131046966.0
DRIFTUSDT,2025-03-18,0.6522,0.68,0.6018,0.6168,35289912.0
DRIFTUSDT,2025-03-19,0.6169,0.6169,0.574,0.5946,18840730.0
DRIFTUSDT,2025-03-20,0.5947,0.6178,0.5898,0.6009,14264260.0
DRIFTUSDT,2025-03-21,0.6007,0.6568,0.5921,0.6451,22006944.0
DRIFTUSDT,2025-03-22,0.6453,0.6504,0.6034,0.6126,9443768.0
DRIFTUSDT,2025-03-23,0.6125,0.6922,0.6125,0.624,39941848.0
DRIFTUSDT,2025-03-24,0.624,0.6294,0.5974,0.6279,11391560.0
DRIFTUSDT,2025-03-25,0.6278,0.6379,0.6064,0.6319,6615662.0
DRIFTUSDT,2025-03-26,0.6318,0.6813,0.6264,0.6409,17954937.0
DRIFTUSDT,2025-03-27,0.6411,0.708,0.6377,0.6797,33269276.0
DRIFTUSDT,2025-03-28,0.6792,0.7077,0.5888,0.6049,30755608.0
DRIFTUSDT,2025-03-29,0.6046,0.6096,0.563,0.5718,8319795.0
DRIFTUSDT,2025-03-30,0.5716,0.6023,0.5655,0.5794,5437292.0
